Year,Arroyo_Seco_Reconstruction_Flow_TAF,Arroyo_Seco_Lower_50Percent_Flow_TAF,Arroyo_Seco_Flow_Upper_50Percent_Flow_TAF,SanGab_Reconstruction_Precip_inches,SanGab_Flow_Lower_50Percent_Precip_inches,SanGab_Flow_Upper_50Percent_Precip_inches,SantaAna_Reconstruction_Flow_TAF,SantaAna_Lower_50Percent_Flow_TAF,SantaAna_Upper_50Percent_Flow_TAF,LakeArrow_Reconstruction_Precip_inches,LakeArrow_Lower_50Percent_Precip_inches,LakeArrow_Upper_50Percent_Precip_inches,Ojai_Reconstruction_Precip_inches,Ojai_Lower_50Percent_Precip_inches,Ojai_Upper_50Percent_Precip_inches,Cuyam_Reconstruction_Precip_inches,Cuyam_Lower_50Percent_Precip_inches,Cuyam_Upper_50Percent_Precip_inches,Kern_Reconstruction_Flow_TAF,Kern_Lower_50Percent_Flow_TAF,Kern_Upper_50Percent_Flow_TAF,Colo_Reconstruction_Flow_TAF,Colo_Lower_50Percent_Confidence_Flow_TAF,Colo_Upper_50Percent_Confidence_Flow_TAF
1158,2.616,1.446,5.368,20.25,15.51,27.61,25.115,16.939,36.648,28.29,21.85,38.21,14.04,10.82,17.88,25.56,19.55,31.32,381.139,282.691,572.830,10555.733,8491.821,12882.255
1159,11.666,6.360,21.691,42.07,28.63,51.90,94.271,67.474,137.701,56.84,41.99,71.14,28.59,22.03,36.71,43.93,34.97,54.94,1015.751,794.082,1288.571,15834.375,13415.770,18284.752
1160,4.517,2.031,10.218,22.93,17.71,30.55,36.220,22.485,58.339,33.11,25.78,44.81,18.21,13.84,23.33,32.71,25.79,41.00,594.828,446.958,808.559,15919.150,13494.591,18373.998
1161,4.377,1.947,9.973,24.02,18.40,31.95,32.262,19.830,51.837,35.35,26.98,48.64,18.21,13.84,23.33,29.41,22.88,36.53,511.679,381.550,717.149,10441.010,8386.501,12765.093
1162,2.827,1.361,6.307,22.65,17.48,30.25,28.520,18.865,42.795,30.72,23.83,41.55,15.17,11.62,19.39,27.80,21.48,34.34,415.418,308.187,610.837,12991.876,10755.213,15356.034
1163,12.178,6.587,22.529,40.91,28.15,50.70,83.968,58.809,126.600,58.31,43.03,72.65,29.37,22.52,37.79,44.88,35.74,56.16,945.314,735.147,1194.035,18599.208,15967.221,21138.764
1164,3.252,1.283,7.896,22.19,17.10,29.74,32.684,20.113,52.526,29.71,23.00,40.16,16.13,12.34,20.60,31.65,24.85,39.60,513.586,383.039,719.248,14768.962,12412.214,17171.133
1165,12.125,6.606,22.416,42.74,28.90,52.58,102.231,74.311,146.051,56.83,41.98,71.12,28.80,22.20,36.97,46.09,36.27,57.97,1034.559,809.820,1310.897,15406.289,13016.526,17835.060
1166,8.668,4.500,17.115,31.71,24.02,40.32,81.685,56.890,123.980,40.04,30.39,53.91,23.26,17.65,30.11,44.47,35.40,55.63,925.381,718.469,1166.368,9188.427,7240.331,11485.907
1167,7.451,3.702,15.125,28.32,21.99,36.76,60.347,40.210,94.805,39.88,30.30,53.74,21.57,16.25,27.98,40.36,32.23,50.44,775.095,590.870,1004.324,11713.939,9560.640,14063.538
1168,5.572,2.630,12.053,25.07,19.17,33.34,47.328,29.869,76.743,35.00,26.83,48.05,19.04,14.39,24.50,34.57,27.44,43.42,734.025,558.445,960.841,12121.683,9942.412,14476.511
1169,16.647,3.480,29.289,51.36,32.40,61.19,119.916,62.342,191.913,66.87,49.09,81.15,32.97,24.62,42.78,48.61,36.40,61.81,1611.228,1094.570,1958.654,10880.409,8789.885,13213.833
1170,2.965,1.341,6.822,15.79,12.15,22.59,29.656,19.129,45.576,21.19,16.22,28.21,14.51,11.13,18.53,24.79,18.88,30.29,481.537,358.319,683.904,12283.391,10094.227,14640.007
1171,3.275,1.277,7.982,24.04,18.41,31.99,30.713,19.374,48.177,34.55,26.62,47.29,17.48,13.34,22.34,31.08,24.35,38.82,482.636,359.162,685.117,14167.704,11842.692,16552.600
1172,3.137,1.309,7.467,24.03,18.41,31.96,31.041,19.450,48.989,34.48,26.58,47.15,17.09,13.05,21.83,31.49,24.71,39.38,499.710,372.260,703.967,15768.797,13354.796,18215.715
1173,2.853,1.358,6.403,22.36,17.24,29.93,27.844,18.492,41.553,31.71,24.63,42.90,14.56,11.16,18.60,27.86,21.53,34.42,390.769,289.797,583.523,14809.542,12450.707,17213.247
1174,3.257,1.281,7.914,24.57,18.68,32.80,32.975,20.308,53.003,35.84,27.26,49.36,18.06,13.73,23.12,31.92,25.09,39.95,541.020,404.483,749.426,12111.470,9932.823,14466.184
1175,3.091,1.318,7.294,23.79,18.34,31.58,30.601,19.348,47.900,33.70,26.18,45.72,17.01,12.99,21.73,29.80,23.22,37.07,490.537,365.222,693.840,10968.527,8870.866,13303.824
1176,3.997,1.714,9.305,24.37,18.56,32.51,34.591,21.392,55.659,35.40,27.00,48.72,18.69,14.16,23.98,30.60,23.92,38.16,570.837,427.964,782.195,13133.028,10884.568,15499.060
1177,2.817,1.362,6.270,18.62,14.27,25.79,24.134,16.380,34.893,28.83,22.29,38.96,14.51,11.13,18.53,26.18,20.08,32.14,330.446,245.512,516.453,11102.656,8994.641,13440.806
1178,6.247,3.000,13.156,34.37,25.36,43.37,52.016,33.586,83.301,45.88,34.02,59.84,21.84,16.47,28.32,37.86,30.22,47.47,771.932,588.352,1000.975,13211.398,10955.921,15578.597
1179,4.713,2.146,10.563,23.96,18.39,31.86,41.811,26.220,67.583,33.30,25.92,45.06,17.93,13.65,22.95,30.26,23.63,37.70,699.031,529.694,923.100,12924.345,10693.008,15287.682
1180,7.439,3.694,15.105,28.22,21.91,36.65,46.835,29.544,75.922,41.71,31.41,55.60,22.36,16.89,28.98,35.17,27.96,44.19,711.131,539.636,936.315,17324.263,14712.624,19895.961
1181,12.133,6.603,22.438,35.89,26.10,45.12,88.214,62.379,131.348,48.69,36.05,62.70,27.18,20.92,34.96,43.14,34.33,53.93,993.982,775.868,1261.589,18160.558,15493.388,20710.028
1182,6.847,3.340,14.138,24.21,18.48,32.26,50.855,32.656,81.698,33.88,26.28,46.07,19.14,14.45,24.66,30.61,23.93,38.18,763.691,581.792,992.250,14215.353,11888.122,16601.534
1183,2.853,1.358,6.405,18.50,14.18,25.66,25.048,16.901,36.527,27.60,21.31,37.24,14.54,11.15,18.58,25.81,19.76,31.64,346.866,257.509,534.729,13751.579,11453.776,16127.505
1184,8.380,4.308,16.644,36.77,26.47,46.13,57.953,38.313,91.494,51.94,38.44,66.03,25.26,19.35,32.59,41.12,32.79,51.37,769.940,586.766,998.866,18922.544,16323.611,21458.935
1185,2.614,1.447,5.358,18.27,14.00,25.39,25.709,17.277,37.712,24.77,19.09,33.23,13.19,10.25,16.67,25.98,19.90,31.87,356.769,264.756,545.744,17188.673,14592.328,19752.573
1186,2.984,1.338,6.893,23.60,18.28,31.30,28.687,18.904,43.203,34.00,26.34,46.28,16.09,12.31,20.56,30.85,24.15,38.51,433.633,321.919,630.968,13048.834,10807.410,15413.747
1187,4.311,1.907,9.856,25.21,19.31,33.49,34.212,21.138,55.037,39.46,30.02,53.31,18.57,14.08,23.82,30.26,23.63,37.70,553.269,414.112,762.888,16808.305,14260.603,19346.094
1188,11.279,6.130,21.106,35.89,26.10,45.12,83.830,58.693,126.438,46.58,34.51,60.56,26.05,20.00,33.57,38.89,31.04,48.68,960.868,748.161,1215.626,17611.290,14967.305,20182.539
1189,10.943,5.933,20.599,31.63,23.98,40.24,78.338,54.143,119.515,42.93,32.14,56.84,26.09,20.03,33.61,39.25,31.34,49.11,926.547,719.444,1167.986,14569.972,12223.455,16965.723
1190,12.344,6.530,22.768,36.31,26.28,45.60,101.894,74.022,145.697,46.27,34.28,60.25,27.66,21.30,35.55,43.00,34.23,53.75,1047.844,820.935,1326.665,18083.249,15410.750,20635.572
1191,6.064,2.911,12.858,24.51,18.64,32.71,49.181,31.312,79.387,34.85,26.76,47.79,19.93,14.97,25.86,37.43,29.88,46.95,719.433,546.456,945.337,17494.473,14863.742,20068.482
1192,6.641,3.218,13.801,31.42,23.88,40.01,67.780,46.037,105.098,39.09,29.76,52.94,21.17,15.94,27.47,39.79,31.80,49.76,861.006,662.896,1093.837,19814.919,17294.197,22343.543
1193,15.813,4.433,27.565,46.66,30.53,56.50,115.379,67.050,174.304,62.88,46.28,77.20,32.06,24.08,41.53,47.20,36.45,59.70,1426.509,1000.971,1755.439,19018.386,16429.251,21553.839
1194,11.374,6.187,21.250,28.72,22.27,37.17,81.704,56.905,124.005,39.36,29.95,53.21,25.78,19.78,33.23,39.99,31.95,50.00,926.396,719.318,1167.777,16867.990,14311.776,19410.755
1195,15.122,5.069,26.682,44.10,29.46,53.95,111.115,72.724,159.710,62.01,45.66,76.34,32.03,24.06,41.49,46.16,36.30,58.08,1217.821,895.952,1521.733,18573.596,15938.990,21113.402
1196,2.968,1.340,6.834,18.04,13.83,25.14,30.024,19.214,46.478,23.76,18.29,31.82,14.61,11.19,18.67,26.89,20.69,33.10,456.847,339.488,656.622,17310.240,14700.183,19881.132
1197,10.543,5.690,19.996,36.64,26.42,45.98,69.296,47.181,107.204,50.63,37.48,64.68,26.62,20.46,34.26,39.17,31.28,49.02,838.035,643.066,1070.331,18384.681,15734.266,20927.034
1198,3.988,1.709,9.290,24.01,18.40,31.93,37.491,23.336,60.436,33.70,26.18,45.72,18.02,13.71,23.07,32.80,25.87,41.12,577.484,433.206,789.500,14334.462,12001.687,16723.857
1199,3.369,1.314,8.200,24.14,18.45,32.15,33.662,20.769,54.132,34.28,26.48,46.80,17.42,13.30,22.26,30.61,23.94,38.18,536.831,401.198,744.821,13328.829,11062.236,15698.374
1200,2.765,1.383,6.040,20.95,16.08,28.39,26.446,17.697,39.037,30.01,23.24,40.57,14.65,11.21,18.73,26.87,20.68,33.07,372.079,276.006,562.770,15243.879,12863.390,17665.583
1201,6.245,2.999,13.153,29.68,22.96,38.18,41.749,26.179,67.480,44.51,33.12,58.45,21.62,16.29,28.04,37.79,30.17,47.39,624.263,470.386,840.842,15590.078,13188.627,18027.564
1202,7.070,3.472,14.502,28.80,22.33,37.27,48.005,30.366,77.765,42.83,32.09,56.74,21.48,16.18,27.86,35.73,28.45,44.89,685.608,518.852,908.399,12223.373,10037.881,14579.325
1203,12.276,6.553,22.651,38.36,27.11,47.93,92.708,66.158,136.062,51.51,38.12,65.58,28.28,21.79,36.33,45.39,36.03,56.87,998.316,779.494,1267.605,16242.473,13775.406,18729.256
1204,15.092,5.096,26.643,44.55,29.65,54.40,110.988,72.924,159.358,64.07,47.12,78.38,32.24,24.18,41.78,47.31,36.45,59.86,1224.331,899.228,1529.123,14876.936,12514.635,17283.190
1205,12.163,6.593,22.510,32.30,24.31,40.97,96.537,69.420,140.078,42.05,31.61,55.95,25.85,19.84,33.32,40.98,32.68,51.20,967.891,754.037,1225.373,13636.709,11347.401,16010.914
1206,3.229,1.288,7.810,21.69,16.69,29.20,33.285,20.516,53.512,29.33,22.69,39.64,15.45,11.83,19.74,28.55,22.13,35.36,495.374,368.932,699.180,13153.676,10903.442,15520.006
1207,7.618,3.809,15.399,27.93,21.71,36.36,46.755,29.492,75.790,42.78,32.05,56.69,20.92,15.74,27.14,35.84,28.54,45.01,624.866,470.865,841.502,12514.379,10311.084,14873.348
1208,6.615,3.202,13.758,31.86,24.09,40.49,56.887,37.469,90.023,42.92,32.14,56.84,21.75,16.39,28.21,38.54,30.75,48.27,744.773,566.818,972.221,15670.324,13263.238,18111.934
1209,10.161,5.456,19.420,35.03,25.69,44.13,77.642,53.582,118.586,47.37,35.08,61.36,26.10,20.04,33.63,43.11,34.32,53.90,878.207,678.042,1111.439,18770.697,16156.241,21308.574
1210,5.220,2.431,11.454,24.23,18.49,32.30,43.335,27.233,70.109,34.80,26.74,47.71,18.52,14.04,23.74,33.28,26.30,41.75,618.792,466.031,834.847,15533.338,13135.794,17967.907
1211,8.663,4.497,17.107,33.74,25.04,42.64,67.062,45.495,104.103,45.80,33.96,59.76,23.78,18.07,30.76,39.82,31.82,49.80,789.011,601.947,1019.058,17522.062,14888.201,20095.889
1212,12.522,6.472,23.141,39.67,27.64,49.38,106.026,77.527,150.040,52.13,38.57,66.22,28.98,22.30,37.22,45.26,35.98,56.67,1038.648,813.240,1315.749,13461.801,11185.480,15833.386
1213,4.660,2.116,10.471,23.90,18.37,31.76,41.504,26.015,67.074,32.97,25.66,44.62,18.20,13.83,23.30,32.62,25.72,40.89,629.021,474.172,846.050,12729.800,10512.702,15090.956
1214,3.666,1.505,8.722,23.95,18.38,31.85,33.038,20.350,53.107,34.30,26.49,46.84,18.17,13.81,23.27,32.80,25.87,41.12,540.009,403.690,748.315,14415.778,12078.996,16807.368
