Year ,KLK_Reconstruction_Flow_AF,KLK_Lower_50_Percent_Flow_AF,KLK_Upper_50_Percent_Flow_AF,TRN_Reconstruction_Flow_AF,TRN_Lower_50_Percent_Flow_AF,TRN_Upper_50_Percent_Flow_AF,KFL_Reconstruction_Precip_Inches,KFL_Lower_50_Percent_Precip_Inches,KFL_Upper_50_Percent_Precip_Inches,KFS_Reconstruction_Precip_Inches,KFS_Lower_50_Percent_Precip_Inches,KFS_Upper_50_Percent_Precip_Inches,WEA_Reconstruction_Precip_Inches,WEA_Lower_50_Percent_Precip_Inches,WEA_Upper_50_Percent_Precip_Inches,YRK_Reconstruction_Precip_Inches,YRK_Lower_50_Percent_Precip_Inches,YRK_Upper_50_Percent_Precip_Inches,FTO_Reconstruction_Flow_AF,FTO_Lower_50_Percent_Flow_AF,FTO_Upper_50_Percent_Flow_AF,YRS_Reconstruction_Flow_AF,YRS_Lower_50_Percent_Flow_AF,YRS_Upper_50_Percent_Flow_AF,AMF_Reconstruction_Flow_AF,AMF_Lower_50_Percent_Flow_AF,AMF_Upper_50_Percent_Flow_AF,SBB_Reconstruction_Flow_AF,SBB_Lower_50_Percent_Flow_AF,SBB_Upper_50_Percent_Flow_AF,SAC4_Reconstruction_Flow_AF,SAC4_Lower_50_Percent_Flow_AF,SAC4_Upper_50_Percent_Flow_AF,SNS_Reconstruction_Flow_AF,SNS_Lower_50_Percent_Flow_AF,SNS_Upper_50_Percent_Flow_AF,TLG_Reconstruction_Flow_AF,TLG_Lower_50_Percent_Flow_AF,TLG_Upper_50_Percent_Flow_AF,MRC_Reconstruction_Flow_AF,MRC_Lower_50_Percent_Flow_AF,MRC_Upper_50_Percent_Flow_AF,SJF_Reconstruction_Flow_AF,SJF_Lower_50_Percent_Flow_AF,SJF_Upper_50_Percent_Flow_AF,SJQ4_Reconstruction_Flow_AF,SJQ4_Lower_50_Percent_Flow_AF,SJQ4_Upper_50_Percent_Flow_AF
922,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4114300,2977500,5411300,2273300,1611200,2845300,2709000,1910000,3528800,7653300,6024000,9863600,16616000,12371000,20903000,1191400,857170,1557000,1916600,1443900,2467800,1033000,739650,1391400,1810100,1330000,2387700,5995600,4435900,7853100
923,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3391400,2467100,4416600,1905000,1336000,2407700,2128300,1447600,2776600,6993700,5530800,8935500,14059000,10529000,17518000,929650,647500,1186400,1566200,1158900,1976800,798710,554460,1059200,1465900,1068300,1918900,4726000,3413200,6085600
924,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2571100,1972400,2620100,1311300,950860,1654600,1385900,1081700,1760900,5623700,4620000,6809900,10874000,8523400,10952000,604600,438250,754670,1057000,788180,1292200,517400,364030,666150,970130,738300,1235000,3156300,2335100,3919700
925,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5073800,3743100,6573700,2892200,2155900,3520800,3394100,2541500,4339400,9195300,7350200,11721000,20211000,15410000,25302000,1462100,1123200,1910800,2380600,1876400,3020600,1301700,988160,1708800,2419600,1829700,3045900,7445300,5772900,9552900
926,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5611400,4295800,7161800,2993000,2272300,3618300,3492500,2641800,4428500,10100000,8192000,12761000,22019000,17297000,27416000,1453900,1114500,1901200,2285300,1781300,2918600,1208000,896890,1604200,2277600,1707200,2902400,7129200,5472800,9229800
927,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5266500,3931100,6796100,2563800,1852600,3178400,2870300,2052300,3732600,9594300,7724500,12198000,20821000,16042000,26042000,1188300,854380,1552700,1876600,1410300,2412600,947800,670050,1273900,1821000,1338400,2401900,5791000,4266000,7574100
928,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3334200,2431400,4328900,1618700,1141400,2051800,1740400,1200800,2254700,6776900,5382500,8600900,13800000,10362000,17135000,745890,521570,945470,1256500,924820,1562700,615520,425430,804930,1162900,856390,1505800,3786100,2738700,4804900
929,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2990500,2220700,3802700,1542400,1090000,1956500,1664000,1152900,2152500,6209400,5001700,7724200,12504000,9535900,15226000,722010,505560,914690,1245100,916350,1548000,621950,429890,813600,1147300,845510,1485300,3745900,2710200,4751200
930,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2332100,1833900,2381100,1225100,900950,1540500,1287400,1237400,1621100,5161700,4325500,6086900,9938600,7952400,10016000,565650,416690,701150,1007200,755340,1223400,494840,350550,633760,917800,707270,1160300,3002300,2240800,3699900
931,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4613200,3369100,6028800,2739400,1996900,3364500,3194300,2340300,4125200,8468300,6697500,10864000,18527000,13933000,23213000,1376000,1031800,1805900,2259900,1756300,2889800,1240000,927520,1639900,2275600,1705500,2900300,7053400,5400800,9150700
